title,author,genre,book_url,image_url
Монтессорі. 150 занять із малюком удома. 0–4 роки,Сільві д’Есклеб,Нехудожня література (нон-фікшн),/catalog/pedahohika-ta-vykhovannya/montessori-150-zanyat-iz-malyukom-udoma-0-4-roky/,https://book-ye.com.ua//upload/resize_cache/iblock/ee2/230_355_1/0ad298b0_eaf9_11eb_8150_0050568ef5e6_b58167ec_e63a_11ec_8170_0050568ef5e6.jpg
Дім Ґуччі,Сара Ґей Форден,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/dim-guchchi/,https://book-ye.com.ua//upload/resize_cache/iblock/b40/230_355_1/801bca5f_4229_11ec_8154_0050568ef5e6_2f2e79ac_4912_11ec_8154_0050568ef5e6.jpg
Марсіани на Хрещатику. Літературний Київ початку XX століття,Віра Агеєва,Нехудожня література (нон-фікшн),/catalog/literaturoznavstvo/marsiany-na-khreshchatyku-literaturnyj-kyyiv-pochatku-xx-stolittya/,https://book-ye.com.ua//upload/resize_cache/iblock/74c/230_355_1/da58b791_83fa_11e6_80c0_000c29ae1566_57152011_9af6_11ed_817a_0050568ef5e6.jpg
Медицина доказова і не дуже,Андрій Сем'янків (MED GOblin),Нехудожня література (нон-фікшн),/catalog/medychna-literatura/medytsyna-dokazova-i-ne-duzhe/,https://book-ye.com.ua//upload/resize_cache/iblock/51b/230_355_1/c873ff31_a80d_11eb_814a_0050568ef5e6_b0ee6fdf_e563_11eb_8150_0050568ef5e6.jpg
Неприродні випадки. Нотатки судмедексперта в 34 розтинах,Ричард Шеперд,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/nepryrodni-vypadky-notatky-sudmedeksperta-v-34-roztynakh/,https://book-ye.com.ua//upload/resize_cache/iblock/347/230_355_1/c615a8c7_702e_11ea_812d_000c29ae1566_0bb7db00_e1b8_11ec_8170_0050568ef5e6.jpg
Конкуренція в новому світі праці (м'яка обкладинка),Кейт Феррацці,Нехудожня література (нон-фікшн),/catalog/biznes-psykholohiya/konkurentsiya-v-novomu-sviti-pratsi-m-yaka-obkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/11d/230_355_1/303b4504_77c5_11ed_8177_0050568ef5e6_832dec01_8a8c_11ed_8177_0050568ef5e6.jpg
"І сталася тьма. Рузвельт, Гітлер і західна дипломатія напередодні війни (тверда обкладинка)",Девід МакКін,Нехудожня література (нон-фікшн),/catalog/istorychni-postati/i-stalasya-tma-ruzvelt-gitler-i-zakhidna-dyplomatiya-naperedodni-vijny-tverda-obkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/71b/230_355_1/b708d204_77c3_11ed_8177_0050568ef5e6_a4bf3cb7_77c4_11ed_8177_0050568ef5e6.jpg
The Elder Scrolls. Офіційна кулінарна книга,Челсі Монро-Кассел,Нехудожня література (нон-фікшн),/catalog/kulinariya/the-elder-scrolls-ofitsijna-kulinarna-knyha/,https://book-ye.com.ua//upload/resize_cache/iblock/a11/230_355_1/c9643aba_85da_11ed_8177_0050568ef5e6_63c8cf10_85dd_11ed_8177_0050568ef5e6.jpg
4000 тижнів. Тайм-менеджмент для смертних,Олівер Беркмен,Нехудожня література (нон-фікшн),/catalog/samorozvytok/4000-tyzhniv-tajm-menedzhment-dlya-smertnykh/,https://book-ye.com.ua//upload/resize_cache/iblock/854/230_355_1/3fdf8e41_4b86_11ec_815c_0050568ef5e6_194a61b8_4b9a_11ec_815c_0050568ef5e6.jpg
Неймовірна історія сексу. Книга 1: Захід,Філіп Брено,Нехудожня література (нон-фікшн),/catalog/komiksy/nejmovirna-istoriya-seksu-knyha-1-zakhid/,https://book-ye.com.ua//upload/resize_cache/iblock/d4b/230_355_1/0d8a732c_e186_11ec_8170_0050568ef5e6_4671d68b_e18a_11ec_8170_0050568ef5e6.jpg
Королівське позолочене Таро (карти + керівництво з опису карт і тлумачення розкладів),Барбара Мур,Нехудожня література (нон-фікшн),/catalog/ezoteryka/korolivske-pozolochene-taro-karty-kerivnytstvo-z-opysu-kart-i-tlumachennya-rozkladiv/,https://book-ye.com.ua//upload/resize_cache/iblock/d3e/230_355_1/b3dd816a_e58f_11ec_8170_0050568ef5e6_011bb7d5_e591_11ec_8170_0050568ef5e6.jpg
Коротка історія мистецтва,С'юзі Годж,Нехудожня література (нон-фікшн),/catalog/kultura-ta-mystetstvo/korotka-istoriya-mystetstva/,https://book-ye.com.ua//upload/resize_cache/iblock/804/230_355_1/063896f4_90b2_11ec_816a_0050568ef5e6_7ed6cbe0_90d5_11ec_816a_0050568ef5e6.jpg
77 днів лютого. Україна між двома символічними датами російської ідеології війни (м'яка обкладинка),Зоя Храмченко,Нехудожня література (нон-фікшн),/catalog/zhurnalistyka-reportazhi/77-dniv-lyutoho-ukrayina-mizh-dvoma-symvolichnymy-datamy-rosijskoyi-ideolohiyi-vijny-m-yaka-obkladyn/,https://book-ye.com.ua//upload/resize_cache/iblock/bc7/230_355_1/ba093664_6b17_11ed_8176_0050568ef5e6_0383081c_77c6_11ed_8177_0050568ef5e6.jpg
Бог завжди подорожує інкогніто,Лоран Гунель,Нехудожня література (нон-фікшн),/catalog/motyvatsijni-knyhy/boh-zavzhdy-podorozhuye-inkohnito/,https://book-ye.com.ua//upload/resize_cache/iblock/32f/230_355_1/7ed4f215_0e3e_11e7_80c5_000c29ae1566_8c75aea0_2b38_11e7_80c5_000c29ae1566.jpg
Скляний замок,Джаннетт Воллс,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/sklyanyj-zamok/,https://book-ye.com.ua//upload/resize_cache/iblock/fe6/230_355_1/fd2b3496_d7f1_11e6_80c0_000c29ae1566_5073fc87_989c_11ed_8178_0050568ef5e6.jpg
Марк Аврелій. Наодинці з собою,Марк Аврелій,Нехудожня література (нон-фікшн),/catalog/filosofiya/mark-avrelij-naodyntsi-z-soboyu/,https://book-ye.com.ua//upload/resize_cache/iblock/482/230_355_1/c7393fa1_23be_11e9_8112_000c29ae1566_2fa5c4a6_eaf8_11ec_8171_0050568ef5e6.jpg
Місяць війни. Хроніка подій. Промови та звернення Президента України Володимира Зеленського,Олександр Красовицький,Нехудожня література (нон-фікшн),/catalog/istorychna-publitsystyka/misyats-vijny-khronika-podij-promovy-ta-zvernennya-prezydenta-ukrayiny-volodymyra-zelenskoho/,https://book-ye.com.ua//upload/resize_cache/iblock/6fd/230_355_1/a6e59c9c_cc62_11ec_816f_0050568ef5e6_81925c7f_cc63_11ec_816f_0050568ef5e6.jpg
Фактор Черчилля. Як одна людина змінила історію,Борис Джонсон,Нехудожня література (нон-фікшн),/catalog/biohrafiyi-vidomykh-lyudej/faktor-cherchyllya-yak-odna-lyudyna-zminyla-istoriyu/,https://book-ye.com.ua//upload/resize_cache/iblock/23e/230_355_1/aba8252f_36a0_11e9_8112_000c29ae1566_716b4b44_71dd_11eb_8149_0050568ef5e6.jpg
Дорослі діти емоційно не зрілих батьків,Ліндсі К. Гібсон,Нехудожня література (нон-фікшн),/catalog/psykholohiya/dorosli-dity-emotsijno-ne-zrilykh-batkiv/,https://book-ye.com.ua//upload/resize_cache/iblock/455/230_355_1/b2543ca7_54d2_11ec_815d_0050568ef5e6_773feb03_569c_11ec_815d_0050568ef5e6.jpg
#Моя УПА,Любов Загоровська,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/moya-upa/,https://book-ye.com.ua//upload/resize_cache/iblock/84c/230_355_1/ecf2fa47_542f_11ed_8175_0050568ef5e6_96ad19c9_5431_11ed_8175_0050568ef5e6.jpg
Подорож книжки. Від папірусу до кіндла (тверда обкладинка),Ірене Вальєхо,Нехудожня література (нон-фікшн),/catalog/naukovo-populyarna-literatura/podorozh-knyzhky-vid-papirusu-do-kindla-tverda-obkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/191/230_355_1/c207fe95_a183_11ed_817a_0050568ef5e6_6dfbdc14_a244_11ed_817a_0050568ef5e6.jpg
9 місяців щастя. Посібник для вагітних,Елена Березовська,Нехудожня література (нон-фікшн),/catalog/vahitnist-i-dohlyad-za-novonarodzhenym/9-misyatsiv-shchastya-posibnyk-dlya-vahitnykh/,https://book-ye.com.ua//upload/resize_cache/iblock/565/230_355_1/ba23b21e_98a2_11ed_8178_0050568ef5e6_ba23b688_98a2_11ed_8178_0050568ef5e6.jpg
"Green Witch. Універсальний довідник із природної магії рослин, ефірних олій та мінералів",Ерін Мерфі-Хіскок,Нехудожня література (нон-фікшн),/catalog/ezoteryka/green-witch-universalnyj-dovidnyk-iz-pryrodnoyi-mahiyi-roslyn-efirnykh-olij-ta-mineraliv/,https://book-ye.com.ua//upload/resize_cache/iblock/196/230_355_1/d4a40e0c_e082_11eb_8150_0050568ef5e6_2b7db453_e256_11ec_8170_0050568ef5e6.jpg
Історія України від діда Свирида. Книга третя,Дід Свирид,Нехудожня література (нон-фікшн),/catalog/zahalna-istoriya-ukrayiny/istoriya-ukrayiny-vid-dida-svyryda-knyha-tretya/,https://book-ye.com.ua//upload/resize_cache/iblock/31f/230_355_1/b5ca5abd_4148_11eb_8142_000c29ae1566_6347aec3_414a_11eb_8142_000c29ae1566.jpg
За лаштунками імперії. Есеї про українсько-російські культурні відносини,Віра Агеєва,Нехудожня література (нон-фікшн),/catalog/literaturoznavstvo/za-lashtunkamy-imperiyi-eseyi-pro-ukrayinsko-rosijski-kulturni-vidnosyny/,https://book-ye.com.ua//upload/resize_cache/iblock/0dc/230_355_1/700d3efe_fab6_11eb_8150_0050568ef5e6_ac51bbad_1c76_11ec_8152_0050568ef5e6.jpg
Повернення до кафе на краю світу,Джон П. Стрелекі,Нехудожня література (нон-фікшн),/catalog/motyvatsijni-knyhy/povernennya-do-kafe-na-krayu-svitu/,https://book-ye.com.ua//upload/resize_cache/iblock/d02/230_355_1/cfb034c0_3f95_11eb_8142_000c29ae1566_83f9b8bb_4684_11eb_8144_000c29ae1566.jpg
Зброя Перемоги. Перший повний довідник озброєння української армії,Михайло Жирохов,Нехудожня література (нон-фікшн),/catalog/dovidnyky/zbroya-peremohy-pershyj-povnyj-dovidnyk-ozbroyennya-ukrayinskoyi-armiyi/,https://book-ye.com.ua//upload/resize_cache/iblock/26f/230_355_1/114bb6e9_8528_11ed_8177_0050568ef5e6_6755f371_8528_11ed_8177_0050568ef5e6.jpeg
Сковорода. Самовладання,Тарас Лютий,Нехудожня література (нон-фікшн),/catalog/biohrafiyi-vidomykh-lyudej/skovoroda-samovladannya/,https://book-ye.com.ua//upload/resize_cache/iblock/66f/230_355_1/d0b5dfb0_7218_11ed_8176_0050568ef5e6_0f9e6f72_721c_11ed_8176_0050568ef5e6.jpg
Уламки дитячих травм. Чому ми хворіємо і як це припинити,Донна Джексон Наказава,Нехудожня література (нон-фікшн),/catalog/psykholohiya/ulamky-dytyachykh-travm-chomu-my-khvoriyemo-i-yak-tse-prypynyty/,https://book-ye.com.ua//upload/resize_cache/iblock/75b/230_355_1/cc691cdf_6d75_11ec_815f_0050568ef5e6_d580b5a2_6d76_11ec_815f_0050568ef5e6.jpg
Емоційні гойдалки війни. Роздуми психотерапевта про війну,Володимир Станчишин,Нехудожня література (нон-фікшн),/catalog/psykholohiya/emotsijni-hojdalky-vijny-rozdumy-psykhoterapevta-pro-vijnu/,https://book-ye.com.ua//upload/resize_cache/iblock/f68/230_355_1/ce7e4611_83e8_11e6_80c0_000c29ae1566_b4b4b952_3d70_11ed_8175_0050568ef5e6.jpg
